Column1,attributes.OBJECTID,attributes.REG_CODE,attributes.Region_Name_AR,attributes.region_name_en,attributes.GovCounts,attributes.TotalConfirmed,attributes.TotalDeaths,attributes.TotalRecovered,attributes.TotalActive,attributes.TotalCalculatedRecords,attributes.GlobalID,attributes.Shape__Area,attributes.Shape__Length,X
0,1,R01,Ø§Ù„Ø±ÙŠØ§Ø¶,Ar Riyad,23,134522,1573,131154,1795,10427,d185b154-0ee0-4bb4-a98d-c662140dcd63,4.46485E+11,3678036.813,"24.68773, 46.72185"
1,2,R04,Ø§Ù„Ù‚ØµÙŠÙ…,Al Qaseem,13,21837,294,21303,240,5144,7c50fd28-fe5e-4b8e-afc9-0804419a0806,87800636150,1648646.363,"26.32599, 43.97497"
2,3,R08,Ø­Ø§Ø¦Ù„,Hail,9,11759,224,11477,58,2233,1b808d02-4920-42f5-b7d6-2b0da5a85c3d,1.53113E+11,2119177.829,"27.52188, 41.69073"
3,4,R09,Ø§Ù„Ø­Ø¯ÙˆØ¯ Ø§Ù„Ø´Ù…Ø§Ù„ÙŠÙ‡,Northern Borders,4,5334,114,5065,155,1626,bebf8b46-d452-4ecf-9789-f7fe7ea1478e,1.32059E+11,2500029.848,"30.97531, 41.03808"
4,5,R11,Ù†Ø¬Ø±Ø§Ù†,Najran,7,10747,116,10561,70,2176,1a241276-75d1-42f6-8979-9257eb8ce0db,1.42087E+11,2365764.456,"17.49326, 44.12766"
5,6,R12,Ø§Ù„Ø¨Ø§Ø­Ø©,Al Bahah,10,7233,99,7069,65,2529,fcaa0afb-3847-4296-8e7f-24d69c4ca0a8,12712570576,640363.5699,"20.01288, 41.46767"
6,7,R13,Ø§Ù„Ø¬ÙˆÙ,Al Jawf,4,2709,121,2587,1,1723,3fb5c281-87f9-433d-a4af-eb5b06cdb6cd,1.17212E+11,2125698.979,"29.96974, 40.20641"
7,8,R02,Ù…ÙƒØ© Ø§Ù„Ù…ÙƒØ±Ù…Ø©,Makkah Al Mukarramah,17,133988,3203,128084,2701,7762,60475655-9bfd-494f-a48d-e93c764a1aa6,1.62784E+11,3848526.743,"21.42664, 39.82563"
8,9,R03,Ø§Ù„Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„Ù…Ù†ÙˆØ±Ø©,Al Madinah Al Munawwarah,9,39946,318,39204,424,3713,3926ecf6-c268-4122-9745-19b936c45f73,1.76716E+11,2900220.675,"24.46861, 39.61417"
9,10,R05,Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©,Eastern Region,12,118992,1351,116878,763,9611,964e67e5-2464-4bc9-b495-ff0335093546,6.25323E+11,6062190.761,"26.43442, 50.10326"
10,11,R06,Ø¹Ø³ÙŠØ±,Aseer,17,41102,676,40196,230,7283,f0d13d77-23a0-437f-98bc-6f751bd2a686,86730844341,1914297.237,"18.21639, 42.50528"
11,12,R07,ØªØ¨ÙˆÙƒ,Tabuk,7,8679,111,8430,138,2320,088318ae-b2ab-4d4e-a172-c14eff328dd4,1.7463E+11,3325343.676,"28.3998, 36.57151"
12,13,R10,Ø¬Ø§Ø²Ø§Ù†,Jazan,17,21258,679,20405,174,5116,1456039d-36b7-49b9-9716-e968b292cb5a,13491985604,948989.0323,"16.88917, 42.55111"
